Time_step,total_new_infections,Exposed,Infected,Recovered
0,8.640000,54.000000,57.000000,63.000000
1,45567.444391,284796.527445,43409.239379,2401.570959
2,38841.488867,242759.305416,78710.414314,9215.168843
3,33103.356282,206895.976762,104450.577248,19367.012362
4,28213.778408,176336.115047,122494.769981,31911.040175
5,24047.306886,150295.668039,134386.385207,46088.213632
6,20497.003403,128106.271270,141398.347734,61293.974301
7,17471.744123,109198.400771,144577.504551,77050.998326
8,14893.881299,93086.758119,144782.000508,92986.438355
9,12697.250325,79357.814534,142712.715961,108812.941831
10,10825.471524,67659.197023,138939.687257,124312.844356
11,9230.503070,57690.644187,133924.290375,139325.030243
12,7871.407928,49196.299553,128037.848635,153734.031474
13,6713.303139,41958.144620,121577.224079,167461.003262
14,5726.464494,35790.403086,114777.866165,180456.271130
15,4885.563619,30534.772619,107824.718481,192693.192427
16,4169.017886,26056.361786,100861.322378,204163.115752
17,3558.436459,22240.227866,93997.403980,214871.256136
18,3038.148268,18988.426676,87315.186601,224833.332789
19,2594.799790,16217.498689,80874.632980,234072.840746
20,2217.012308,13856.326926,74717.789816,242618.848428
21,1895.089863,11844.311642,68872.380144,250504.230584
22,1620.770392,10129.814950,63354.766195,257764.260799
23,1387.013675,8668.835468,58172.386082,264435.500153
24,1187.820635,7423.878966,53325.751299,270554.929074
25,1018.079365,6362.996034,48810.078194,276159.278185
26,873.433931,5458.962066,44616.614902,281284.521386
27,750.172563,4688.578516,40733.715380,285965.500563
28,645.132397,4032.077484,37147.703830,290235.656560
29,555.618298,3472.614361,33843.565818,294126.845416
30,479.333681,2995.835508,30805.496449,297669.222512
