Time,Nodes,Symptomatic
0,1,0.16
0,2,0.16
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,0
0,9,0
0,10,0
0,11,0.16
0,12,0
0,13,0.16
0,14,0
0,15,0
0,16,0.16
0,17,0
0,18,0.16
0,19,0.16
0,20,0
0,21,0.16
0,22,0
0,23,0
0,24,0
0,25,0.16
0,26,0
0,27,0
0,28,0.16
0,29,0.16
0,30,0.16
0,31,0.16
0,32,0
0,33,0
0,34,0.16
0,35,0.16
0,36,0
0,37,0
0,38,0
0,39,0.16
0,40,0
0,41,0
0,42,0.16
0,43,0.16
0,44,0
0,45,0
0,46,0
0,47,10.88
1,1,968.578
1,2,57.3327
1,3,1212.6
1,4,970.677
1,5,936.478
1,6,742.792
1,7,459.67
1,8,1372.24
1,9,674.346
1,10,599.714
1,11,1386.12
1,12,1197.55
1,13,302.799
1,14,1143.2
1,15,414.801
1,16,1775.12
1,17,1918.59
1,18,1098.39
1,19,1895.72
1,20,179.049
1,21,1135.31
1,22,146.047
1,23,957.602
1,24,217.774
1,25,283.72
1,26,1340.51
1,27,511.439
1,28,241.972
1,29,498.264
1,30,790.172
1,31,1057.01
1,32,451.071
1,33,1438.59
1,34,1092.75
1,35,1136.04
1,36,875.173
1,37,1796.2
1,38,1296.55
1,39,367.292
1,40,1575.49
1,41,2179.77
1,42,1130.1
1,43,2010.57
1,44,772.499
1,45,1282.89
1,46,960.171
1,47,968.351
2,1,825.466
2,2,48.8616
2,3,1086.82
2,4,827.254
2,5,798.108
2,6,633.142
2,7,391.781
2,8,1169.49
2,9,574.85
2,10,511.169
2,11,1181.31
2,12,1024.69
2,13,258.124
2,14,974.284
2,15,353.58
2,16,1515.58
2,17,1635.25
2,18,936.101
2,19,1615.63
2,20,152.613
2,21,967.66
2,22,124.468
2,23,816.113
2,24,185.777
2,25,241.799
2,26,1142.55
2,27,437.652
2,28,207.38
2,29,425.826
2,30,674.268
2,31,902.267
2,32,384.423
2,33,1226.13
2,34,934.155
2,35,968.32
2,36,747.985
2,37,1536.43
2,38,1104.98
2,39,314.11
2,40,1342.89
2,41,1860.73
2,42,964.74
2,43,1716.46
2,44,659.932
2,45,1096.53
2,46,818.358
2,47,826.741
3,1,703.519
