Time,Nodes,Symptomatic
0,1,0.16
0,2,0.16
0,3,0
0,4,0.16
0,5,0.16
0,6,0.16
0,7,0.16
0,8,0
0,9,0.16
0,10,0
0,11,0
0,12,0.16
0,13,0.16
0,14,0
0,15,0
0,16,0
0,17,0.16
0,18,0.16
0,19,0.16
0,20,0
0,21,0.16
0,22,0
0,23,0.16
0,24,0.16
0,25,0
0,26,0.16
0,27,0.16
0,28,0.16
0,29,0
0,30,0.16
0,31,0.16
0,32,0.16
0,33,0.16
0,34,0.16
0,35,0
0,36,0.16
0,37,0
0,38,0
0,39,0.16
0,40,0.16
0,41,0
0,42,0
0,43,0.16
0,44,0
0,45,0.16
0,46,0
0,47,9.44
1,1,322.486
1,2,19.0654
1,3,405.993
1,4,321.505
1,5,310.707
1,6,243.984
1,7,151.133
1,8,458.607
1,9,221.358
1,10,197.616
1,11,460.427
1,12,390.98
1,13,99.3813
1,14,379.213
1,15,136.325
1,16,580.466
1,17,631.477
1,18,364.939
1,19,625.598
1,20,58.8212
1,21,373.897
1,22,48.2528
1,23,316.347
1,24,71.1626
1,25,94.4084
1,26,442.719
1,27,167.252
1,28,79.0728
1,29,162.742
1,30,258.416
1,31,345.504
1,32,148.945
1,33,474.336
1,34,356.894
1,35,373.467
1,36,286.091
1,37,586.852
1,38,428.807
1,39,119.84
1,40,517.512
1,41,712.535
1,42,369.55
1,43,657.59
1,44,252.656
1,45,419.531
1,46,315.912
1,47,304.883
2,1,274.924
2,2,16.2535
2,3,346.114
2,4,274.087
2,5,264.881
2,6,208
2,7,128.843
2,8,390.968
2,9,188.711
2,10,168.47
2,11,392.52
2,12,333.316
2,13,84.7239
2,14,323.284
2,15,116.219
2,16,494.855
2,17,538.343
2,18,311.115
2,19,533.33
2,20,50.1459
2,21,318.752
2,22,41.1361
2,23,269.69
2,24,60.6671
2,25,80.4843
2,26,377.424
2,27,142.584
2,28,67.4106
2,29,138.74
2,30,220.303
2,31,294.547
2,32,126.977
2,33,404.378
2,34,304.257
2,35,318.385
2,36,243.896
2,37,500.299
2,38,365.564
2,39,102.165
2,40,441.186
2,41,607.445
2,42,315.046
2,43,560.604
2,44,215.392
2,45,357.655
2,46,269.32
2,47,259.924
3,1,234.395
3,2,13.8575
