Time_step,total_new_infections,Exposed,Infected,Recovered
0,10.080000,63.000000,67.000000,65.000000
1,15017.559434,93859.746462,15432.048897,955.286233
2,12802.679968,80016.749802,26948.991349,3318.067079
3,10915.353745,68220.960907,35330.574020,6768.996404
4,9307.139778,58169.623610,41189.706127,10997.922033
5,7936.760845,49604.755281,45033.105803,15756.108911
6,6769.044093,42306.525582,47278.624640,20845.536031
7,5774.018288,36087.614301,48269.841346,26109.945047
8,4926.144567,30788.403541,48288.345954,31427.363917
9,4203.660945,26272.880907,47564.071875,36703.871684
10,3588.023769,22425.148555,46283.978613,41868.406727
11,3063.431760,19146.448500,44599.341698,46868.451529
12,2616.420455,16352.627846,42631.867141,51666.452992
13,2235.516620,13971.978874,40478.814397,56236.859389
14,1910.943769,11943.398555,38217.283560,60563.673661
15,1634.371240,10214.820247,35907.798524,64638.438560
16,1398.700372,8741.877323,33597.297531,68458.582467
17,1197.882310,7486.764436,31321.625275,72026.066035
18,1026.762749,6417.267184,29107.606130,75346.279284
19,880.949645,5505.935282,26974.765697,78427.146893
20,756.700480,4729.378001,24936.757369,81278.406186
21,650.826211,4067.663816,23002.541756,83911.028073
22,560.609412,3503.808828,21177.359272,86336.756026
23,483.734536,3023.340848,19463.529870,88567.742266
24,418.228471,2613.927945,17861.108498,90616.263765
25,362.409909,2265.061928,16368.420325,92494.503527
26,314.846182,1967.788640,14982.495949,94214.385097
27,274.316501,1714.478130,13699.423553,95787.450225
28,239.780612,1498.628823,12514.632225,97224.771375
29,210.352104,1314.700648,11423.118398,98536.892170
30,185.275654,1157.972838,10419.625343,99733.790079
