Time,Nodes,Symptomatic
0,1,0.16
0,2,0
0,3,0
0,4,0
0,5,0.16
0,6,0
0,7,0
0,8,0.16
0,9,0
0,10,0.16
0,11,0
0,12,0
0,13,0
0,14,0
0,15,0.16
0,16,0.16
0,17,0
0,18,0.16
0,19,0.16
0,20,0
0,21,0
0,22,0
0,23,0
0,24,0.16
0,25,0.16
0,26,0.16
0,27,0
0,28,0
0,29,0
0,30,0
0,31,0
0,32,0.16
0,33,0
0,34,0.16
0,35,0
0,36,0
0,37,0
0,38,0.16
0,39,0.16
0,40,0.16
0,41,0.16
0,42,0.16
0,43,0
0,44,0.16
0,45,0
0,46,0.16
0,47,5.76
1,1,963.525
1,2,57.2987
1,3,1217.09
1,4,962.05
1,5,929.231
1,6,730.212
1,7,452.389
1,8,1368.61
1,9,662.391
1,10,590.038
1,11,1372.85
1,12,1170.31
1,13,297.342
1,14,1135.23
1,15,407.73
1,16,1736.97
1,17,1888.35
1,18,1092.28
1,19,1871.45
1,20,175.984
1,21,1116.97
1,22,144.34
1,23,946.387
1,24,213.228
1,25,281.11
1,26,1319.56
1,27,499.855
1,28,236.605
1,29,487.199
1,30,773.751
1,31,1034.69
1,32,446.024
1,33,1415.96
1,34,1068.61
1,35,1117.24
1,36,855.568
1,37,1755.68
1,38,1282.01
1,39,358.895
1,40,1549.32
1,41,2133.21
1,42,1105.7
1,43,1967.4
1,44,755.385
1,45,1254.44
1,46,945.396
1,47,954.448
2,1,821.161
2,2,48.8326
2,3,1037.26
2,4,819.903
2,5,791.933
2,6,622.321
2,7,385.546
2,8,1166.39
2,9,564.52
2,10,502.857
2,11,1170
2,12,997.392
2,13,253.408
2,14,967.496
2,15,347.486
2,16,1480.32
2,17,1609.34
2,18,930.889
2,19,1594.93
2,20,149.982
2,21,951.93
2,22,123.013
2,23,806.554
2,24,181.723
2,25,239.575
2,26,1124.59
2,27,426
2,28,201.646
2,29,415.213
2,30,659.426
2,31,881.813
2,32,380.122
2,33,1206.75
2,34,910.717
2,35,952.166
2,36,729.154
2,37,1496.27
2,38,1092.59
2,39,305.867
2,40,1320.4
2,41,1818.02
2,42,942.326
2,43,1676.71
2,44,643.774
2,45,1069.09
2,46,805.71
2,47,813.426
3,1,699.85
3,2,41.6185
3,3,884.021
3,4,698.778
3,5,674.94
3,6,530.385
3,7,328.589
3,8,994.08
3,9,481.123
3,10,428.57
3,11,997.157
3,12,850.046
3,13,215.972
3,14,824.567
3,15,296.152
3,16,1261.63
3,17,1371.59
3,18,793.368
3,19,1359.31
3,20,127.825
3,21,811.301
3,22,104.84
3,23,687.401
3,24,154.877
3,25,204.183
3,26,958.451
3,27,363.066
3,28,171.856
3,29,353.873
3,30,562.008
3,31,751.542
3,32,323.966
3,33,1028.47
3,34,776.176
3,35,811.502
3,36,621.436
3,37,1275.22
3,38,931.179
3,39,260.681
3,40,1125.34
3,41,1549.44
3,42,803.116
3,43,1429.01
3,44,548.668
3,45,911.155
3,46,686.682
3,47,693.259
4,1,596.48
4,2,35.4713
4,3,753.447
4,4,595.566
4,5,575.249
4,6,452.045
4,7,280.055
4,8,847.251
4,9,410.06
4,10,365.268
4,11,849.873
4,12,724.491
4,13,184.072
4,14,702.775
4,15,252.409
4,16,1075.29
4,17,1169
4,18,676.185
4,19,1158.54
4,20,108.945
4,21,691.469
4,22,89.355
4,23,585.87
4,24,132.001
4,25,174.024
4,26,816.885
4,27,309.44
4,28,146.472
4,29,301.605
4,30,478.998
4,31,640.536
4,32,276.115
4,33,876.564
4,34,661.531
4,35,691.64
4,36,529.647
4,37,1086.87
4,38,793.64
4,39,222.177
4,40,959.12
